Frame, x, y, width, height
100,300,617,52,46
101,303,617,53,47
102,306,617,53,45
103,309,618,52,45
104,312,617,51,47
105,315,617,52,46
106,319,617,52,47
107,322,617,52,47
108,326,618,51,47
109,329,618,52,46
110,332,618,52,46
111,336,618,51,46
112,339,618,51,45
113,342,618,52,45
114,346,618,52,45
115,349,618,52,45
116,352,618,52,45
117,355,618,52,45
118,359,618,53,46
119,362,618,53,47
120,365,618,52,45
121,369,618,53,44
122,372,619,53,45
123,376,618,53,45
124,379,619,54,45
125,382,619,54,44
126,386,619,54,44
127,390,618,53,44
128,393,618,54,44
129,397,618,55,44
130,400,618,54,45
131,404,618,54,44
132,408,618,54,45
133,412,618,55,44
134,415,618,54,45
135,419,618,55,45
136,422,618,55,45
137,426,619,55,44
138,429,618,55,45
139,433,618,54,44
140,437,618,55,43
141,440,618,56,43
142,444,618,55,43
143,448,618,55,43
144,451,618,56,42
145,455,618,56,42
146,459,618,56,42
147,463,619,56,42
148,466,618,56,42
149,470,618,56,42
150,478,618,57,42
151,482,618,56,42
152,485,618,57,42
153,489,618,56,43
154,493,618,56,43
155,497,618,57,44
156,497,618,57,44
157,501,618,57,44
158,505,619,57,44
159,509,618,57,44
160,513,618,57,44
161,516,618,58,44
162,520,619,57,43
163,524,619,58,44
164,528,619,58,43
165,532,618,58,44
166,536,619,59,44
167,540,618,58,44
168,544,618,57,42
169,547,618,56,42
170,551,618,58,42
171,555,618,58,42
172,559,618,58,42
173,563,618,58,42
174,567,618,58,42
175,571,618,58,42
176,575,618,58,42
177,579,618,58,42
178,583,618,59,42
179,587,618,59,42
180,590,618,58,42
181,595,618,59,42
182,599,618,58,42
183,603,618,58,42
184,607,618,59,42
185,611,618,57,42
186,615,618,56,42
187,619,618,57,41
188,623,618,56,43
189,627,618,57,42
190,631,618,58,43
191,635,618,57,42
192,639,618,58,42
193,643,618,58,41
194,647,618,57,41
195,651,618,57,41
196,656,618,58,41
197,659,618,58,41
198,664,618,58,41
199,667,618,57,41
200,672,618,58,40
201,676,618,58,40
202,680,618,58,40
203,684,618,59,40
204,688,618,58,40
205,692,618,58,40
206,696,618,58,40
207,700,618,58,40
208,704,618,58,40
209,708,618,58,40
210,712,618,58,40
211,716,618,58,40
212,721,619,57,40
213,725,618,58,40
214,729,618,59,40
215,733,619,58,40
216,738,619,58,39
217,742,619,59,40
218,746,618,59,41
219,751,618,60,41
220,755,618,59,41
221,759,618,59,42
222,763,618,59,41
223,768,618,59,41
224,772,618,59,41
225,777,618,59,41
226,781,618,59,41
227,785,618,58,41
228,789,618,58,41
229,794,618,59,41
230,798,618,59,40
231,803,618,59,40
232,807,618,59,40
233,811,618,60,40
234,816,618,59,40
235,820,618,59,40
236,825,618,60,41
237,829,618,60,40
238,834,618,60,39
239,838,618,60,40
240,843,618,59,40
241,847,618,60,40
242,851,618,60,39
243,856,618,59,39
244,860,618,60,40
245,864,618,59,39
246,868,618,59,39
247,873,618,60,39
248,877,618,60,39
249,882,618,60,39
250,886,618,59,39
251,890,618,59,40
252,895,618,59,39
253,899,618,59,39
254,903,618,59,39
255,907,618,58,39
256,911,618,58,39
257,916,618,59,40
258,920,619,58,39
259,925,619,59,39
260,929,619,58,40
261,933,619,58,40
262,938,619,57,40
263,941,619,59,39
264,946,619,58,40
265,950,619,58,40
266,954,619,59,40
267,958,619,58,40
268,963,619,58,40
269,967,619,59,39
270,971,619,58,39
271,975,619,58,40
272,979,619,59,40
273,983,619,58,39
274,988,619,58,39
275,992,619,58,39
276,996,619,58,40
277,1000,619,58,39
278,1004,619,58,39
279,1008,619,57,40
280,1013,619,57,39
281,1017,619,57,39
282,1021,619,57,39
283,1025,619,56,39
284,1029,619,57,39
285,1033,619,56,39
286,1037,619,57,39
287,1041,619,57,39
288,1045,619,56,40
289,1049,619,57,40
290,1053,619,57,40
291,1058,619,57,39
292,1062,619,57,39
293,1066,619,57,39
294,1070,619,58,39
295,1074,619,58,39
296,1078,619,57,38
297,1082,619,57,39
298,1086,619,56,40
299,1090,619,56,40
300,1094,620,57,40
301,1098,620,57,40
302,1102,620,57,40
303,1106,620,58,40
304,1110,620,57,40
305,1114,620,57,40
306,1118,620,56,40
307,1122,620,56,40
308,1126,620,57,40
309,1130,620,57,40
310,1134,620,57,40
311,1138,620,57,42
312,1142,620,57,42
313,1146,620,57,42
314,1150,620,57,41
315,1154,620,57,41
316,1158,620,57,41
317,1162,620,57,39
318,1166,620,56,40
319,1170,620,55,41
320,1174,620,56,41
321,1178,620,57,41
322,1182,620,55,42
323,1186,620,55,42
324,1190,620,57,42
325,1194,620,57,42
326,1198,620,56,42
327,1202,620,56,42
328,1206,620,57,43
329,1210,620,57,43
330,1214,620,57,42
331,1218,620,57,43
332,1222,620,57,43
333,1226,620,57,43
334,1230,620,57,43
335,1234,620,57,43
336,1239,620,58,43
337,1242,620,56,43
338,1247,620,57,43
339,1251,620,57,43
340,1255,621,58,43
341,1259,621,58,43
342,1263,620,58,43
343,1267,621,58,43
344,1272,621,58,44
345,1276,621,58,44
346,1280,621,58,43
347,1284,621,58,42
348,1289,621,58,41
349,1293,621,58,41
350,1298,621,58,40
351,1302,620,57,40
352,1306,620,58,39
353,1310,620,57,39
354,1315,620,58,40
355,1319,620,58,39
356,1323,620,58,39
357,1328,620,58,40
358,1332,621,58,40
359,1336,621,57,40
360,1340,621,58,41
361,1345,621,57,41
362,1349,621,58,41
363,1353,621,58,40
364,1358,621,59,40
365,1362,621,58,40
366,1366,621,60,41
367,1371,621,59,40
368,1375,621,59,40
369,1379,621,58,39
370,1383,621,59,41
371,1388,621,59,41
372,1392,621,59,40
373,1396,621,59,40
374,1400,621,59,40
375,1405,621,59,40
376,1409,621,60,40
377,1413,621,59,40
378,1418,621,59,40
379,1422,621,60,40
380,1426,621,60,40
381,1430,621,59,41
382,1435,621,59,41
383,1439,621,58,41
384,1444,621,58,41
385,1448,621,58,41
386,1452,621,58,41
387,1456,621,59,41
388,1460,621,59,40
389,1465,621,59,40
390,1469,621,59,40
391,1474,621,58,40
392,1478,621,59,40
393,1482,621,59,40
394,1487,621,59,40
395,1491,621,60,40
396,1495,621,59,40
397,1500,621,60,40
398,1504,620,60,40
399,1509,620,59,39
400,1513,620,60,39
401,1517,620,59,39
402,1522,620,61,39
403,1526,620,60,39
404,1531,620,59,39
405,1535,620,60,39
406,1539,620,60,40
407,1544,620,59,40
408,1548,621,59,40
409,1553,621,60,40
410,1557,620,60,40
411,1562,621,59,40
412,1566,621,60,40
413,1570,621,60,40
414,1575,620,61,39
415,1579,620,61,39
416,1584,620,60,40
417,1589,620,60,39
418,1593,621,61,39
419,1597,621,60,39
420,1602,620,59,39
421,1607,621,60,39
422,1610,621,60,39
423,1615,621,59,39
424,1619,621,60,39
425,1624,621,59,39
426,1628,620,60,39
427,1632,620,60,39
428,1637,621,60,40
429,1641,620,60,39
430,1646,621,60,39
431,1651,621,61,39
432,1655,621,60,39
433,1659,621,60,39
434,1664,621,61,38
435,1668,621,61,39
436,1673,621,61,38
437,1677,621,60,39
438,1681,621,62,39
439,1686,621,61,40
440,1690,621,61,39
441,1694,621,61,39
442,1699,621,62,39
443,1703,621,62,40
444,1708,621,62,39
445,1712,621,61,39
446,1717,621,60,39
447,1721,621,60,39
448,1725,621,59,38
449,1730,621,60,40
450,1733,621,62,39
451,1737,621,61,40
452,1742,621,61,39
453,1746,621,62,39
454,1751,621,61,39
455,1755,621,61,39
456,1759,621,61,40
457,1763,621,60,39
458,1767,621,61,40
459,1772,621,61,39
460,1776,621,61,39
461,1781,621,61,39
462,1785,621,61,39
463,1789,621,61,39
464,1793,621,60,39
465,1797,621,61,39
466,1801,621,61,40
467,1805,621,61,39
468,1810,621,61,39
469,1814,621,61,39
470,1818,621,60,39
471,1822,621,61,39
472,1826,621,60,39
473,1830,621,61,39
474,1835,621,61,40
475,1839,621,61,39
476,1843,621,60,39
477,1847,621,60,39
478,1851,621,61,40
479,1855,621,61,40
480,1859,621,61,40
481,1864,621,60,40
482,1868,621,60,40
483,1872,621,60,40
484,1876,621,60,40
485,1880,621,60,40
486,1885,621,61,40
487,1888,621,59,40
488,1891,621,55,40
489,1894,621,50,40
490,1896,621,46,40
