frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 55 	 565 	 46.0 	 43.0 	 0.033707865168539325 
2.0 	 55 	 565 	 42.0 	 44.0 	 0.023255813953488372 
3.0 	 55 	 565 	 42.0 	 44.0 	 0.023255813953488372 
4.0 	 55 	 565 	 44.0 	 46.0 	 0.022222222222222223 
5.0 	 55 	 565 	 42.0 	 45.0 	 0.034482758620689655 
6.0 	 55 	 565 	 42.0 	 43.0 	 0.011764705882352941 
7.0 	 55 	 565 	 43.0 	 45.0 	 0.022727272727272728 
8.0 	 56 	 565 	 43.0 	 44.0 	 0.011494252873563218 
9.0 	 56 	 565 	 42.0 	 43.0 	 0.011764705882352941 
10.0 	 56 	 565 	 43.0 	 45.0 	 0.022727272727272728 
11.0 	 56 	 565 	 43.0 	 44.0 	 0.011494252873563218 
12.0 	 56 	 565 	 42.0 	 43.0 	 0.011764705882352941 
13.0 	 56 	 565 	 43.0 	 45.0 	 0.022727272727272728 
14.0 	 56 	 565 	 42.0 	 45.0 	 0.034482758620689655 
15.0 	 56 	 565 	 42.0 	 43.0 	 0.011764705882352941 
16.0 	 57 	 565 	 44.0 	 45.0 	 0.011235955056179775 
17.0 	 57 	 565 	 44.0 	 45.0 	 0.011235955056179775 
18.0 	 57 	 565 	 42.0 	 43.0 	 0.011764705882352941 
19.0 	 57 	 565 	 43.0 	 45.0 	 0.022727272727272728 
20.0 	 57 	 565 	 44.0 	 46.0 	 0.022222222222222223 
21.0 	 57 	 565 	 42.0 	 44.0 	 0.023255813953488372 
22.0 	 57 	 565 	 43.0 	 45.0 	 0.022727272727272728 
23.0 	 57 	 565 	 43.0 	 45.0 	 0.022727272727272728 
24.0 	 57 	 565 	 42.0 	 44.0 	 0.023255813953488372 
25.0 	 58 	 565 	 42.0 	 43.0 	 0.011764705882352941 
26.0 	 58 	 565 	 43.0 	 45.0 	 0.022727272727272728 
27.0 	 58 	 565 	 42.0 	 43.0 	 0.011764705882352941 
28.0 	 58 	 565 	 43.0 	 43.0 	 0.0 
