frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 131 	 565 	 43.0 	 46.0 	 0.033707865168539325 
2.0 	 131 	 565 	 43.0 	 45.0 	 0.022727272727272728 
3.0 	 131 	 565 	 43.0 	 44.0 	 0.011494252873563218 
4.0 	 131 	 566 	 43.0 	 46.0 	 0.033707865168539325 
5.0 	 131 	 566 	 43.0 	 46.0 	 0.033707865168539325 
6.0 	 131 	 566 	 43.0 	 44.0 	 0.011494252873563218 
7.0 	 131 	 565 	 43.0 	 46.0 	 0.033707865168539325 
8.0 	 131 	 566 	 43.0 	 46.0 	 0.033707865168539325 
9.0 	 131 	 565 	 43.0 	 44.0 	 0.011494252873563218 
10.0 	 131 	 566 	 43.0 	 46.0 	 0.033707865168539325 
11.0 	 131 	 566 	 43.0 	 46.0 	 0.033707865168539325 
12.0 	 132 	 565 	 43.0 	 45.0 	 0.022727272727272728 
13.0 	 132 	 566 	 43.0 	 45.0 	 0.022727272727272728 
14.0 	 132 	 566 	 43.0 	 46.0 	 0.033707865168539325 
15.0 	 132 	 565 	 43.0 	 44.0 	 0.011494252873563218 
16.0 	 132 	 565 	 43.0 	 45.0 	 0.022727272727272728 
17.0 	 132 	 566 	 43.0 	 46.0 	 0.033707865168539325 
18.0 	 132 	 566 	 43.0 	 44.0 	 0.011494252873563218 
19.0 	 132 	 566 	 43.0 	 45.0 	 0.022727272727272728 
20.0 	 132 	 566 	 44.0 	 46.0 	 0.022222222222222223 
21.0 	 132 	 566 	 43.0 	 44.0 	 0.011494252873563218 
22.0 	 132 	 566 	 43.0 	 45.0 	 0.022727272727272728 
23.0 	 132 	 566 	 43.0 	 45.0 	 0.022727272727272728 
24.0 	 133 	 566 	 43.0 	 44.0 	 0.011494252873563218 
25.0 	 132 	 565 	 43.0 	 45.0 	 0.022727272727272728 
26.0 	 133 	 566 	 43.0 	 46.0 	 0.033707865168539325 
27.0 	 133 	 566 	 43.0 	 46.0 	 0.033707865168539325 
28.0 	 133 	 565 	 43.0 	 46.0 	 0.033707865168539325 
29.0 	 133 	 566 	 43.0 	 46.0 	 0.033707865168539325 
30.0 	 133 	 566 	 43.0 	 44.0 	 0.011494252873563218 
31.0 	 133 	 565 	 43.0 	 44.0 	 0.011494252873563218 
32.0 	 133 	 566 	 43.0 	 46.0 	 0.033707865168539325 
33.0 	 133 	 565 	 43.0 	 45.0 	 0.022727272727272728 
34.0 	 133 	 566 	 43.0 	 44.0 	 0.011494252873563218 
