frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 82 	 573 	 50.0 	 55.0 	 0.047619047619047616 
2.0 	 83 	 573 	 55.0 	 49.0 	 0.057692307692307696 
3.0 	 83 	 573 	 49.0 	 56.0 	 0.06666666666666667 
4.0 	 83 	 573 	 49.0 	 55.0 	 0.057692307692307696 
5.0 	 83 	 573 	 49.0 	 56.0 	 0.06666666666666667 
6.0 	 83 	 573 	 49.0 	 56.0 	 0.06666666666666667 
7.0 	 83 	 573 	 49.85136413574219 	 55.92109298706055 	 0.05738477687316417 
8.0 	 83 	 573 	 49.0 	 55.0 	 0.057692307692307696 
9.0 	 83 	 573 	 49.0 	 54.0 	 0.04854368932038835 
10.0 	 83 	 573 	 49.0 	 55.0 	 0.057692307692307696 
11.0 	 83 	 573 	 48.0 	 54.0 	 0.058823529411764705 
12.0 	 83 	 573 	 50.0 	 56.0 	 0.05660377358490566 
13.0 	 84 	 573 	 49.0 	 55.0 	 0.057692307692307696 
14.0 	 84 	 573 	 50.0 	 54.0 	 0.038461538461538464 
15.0 	 83 	 573 	 50.0 	 55.0 	 0.047619047619047616 
16.0 	 83 	 573 	 50.0 	 55.0 	 0.047619047619047616 
17.0 	 84 	 573 	 50.0 	 53.0 	 0.02912621359223301 
18.0 	 84 	 573 	 49.0 	 55.0 	 0.057692307692307696 
19.0 	 84 	 573 	 49.0 	 55.0 	 0.057692307692307696 
20.0 	 84 	 573 	 48.0 	 54.0 	 0.058823529411764705 
21.0 	 84 	 573 	 55.0 	 50.0 	 0.047619047619047616 
22.0 	 84 	 573 	 50.0 	 55.0 	 0.047619047619047616 
23.0 	 84 	 573 	 50.0 	 55.0 	 0.047619047619047616 
24.0 	 84 	 573 	 50.0 	 54.0 	 0.038461538461538464 
25.0 	 84 	 573 	 50.0 	 54.0 	 0.038461538461538464 
26.0 	 85 	 573 	 48.0 	 53.0 	 0.04950495049504951 
27.0 	 85 	 573 	 48.0 	 53.0 	 0.04950495049504951 
28.0 	 84 	 574 	 50.0 	 55.0 	 0.047619047619047616 
29.0 	 85 	 574 	 50.0 	 54.0 	 0.038461538461538464 
30.0 	 85 	 573 	 49.0 	 53.0 	 0.0392156862745098 
31.0 	 85 	 574 	 49.0 	 54.0 	 0.04854368932038835 
32.0 	 85 	 574 	 49.0 	 54.0 	 0.04854368932038835 
33.0 	 85 	 573 	 48.0 	 53.0 	 0.04950495049504951 
34.0 	 85 	 574 	 49.0 	 54.0 	 0.04854368932038835 
35.0 	 85 	 574 	 49.0 	 54.0 	 0.04854368932038835 
36.0 	 85 	 574 	 48.0 	 52.0 	 0.04 
37.0 	 85 	 573 	 49.0 	 54.0 	 0.04854368932038835 
38.0 	 85 	 573 	 49.0 	 54.0 	 0.04854368932038835 
39.0 	 85 	 574 	 48.0 	 53.0 	 0.04950495049504951 
40.0 	 85 	 573 	 50.0 	 54.0 	 0.038461538461538464 
41.0 	 85 	 573 	 50.0 	 54.0 	 0.038461538461538464 
42.0 	 86 	 573 	 48.0 	 53.0 	 0.04950495049504951 
43.0 	 86 	 573 	 48.0 	 54.0 	 0.058823529411764705 
44.0 	 86 	 573 	 49.0 	 54.0 	 0.04854368932038835 
45.0 	 86 	 574 	 49.0 	 53.0 	 0.0392156862745098 
46.0 	 86 	 574 	 49.0 	 54.0 	 0.04854368932038835 
47.0 	 86 	 574 	 49.0 	 54.0 	 0.04854368932038835 
48.0 	 86 	 573 	 48.0 	 53.0 	 0.04950495049504951 
49.0 	 86 	 573 	 48.0 	 53.0 	 0.04950495049504951 
50.0 	 86 	 573 	 49.0 	 53.0 	 0.0392156862745098 
51.0 	 86 	 573 	 48.0 	 53.0 	 0.04950495049504951 
52.0 	 86 	 573 	 48.0 	 53.0 	 0.04950495049504951 
53.0 	 86 	 573 	 48.0 	 54.0 	 0.058823529411764705 
54.0 	 86 	 573 	 48.0 	 53.0 	 0.04950495049504951 
55.0 	 87 	 573 	 48.0 	 52.0 	 0.04 
56.0 	 87 	 574 	 49.0 	 53.0 	 0.0392156862745098 
57.0 	 87 	 574 	 49.0 	 53.0 	 0.0392156862745098 
58.0 	 87 	 573 	 48.0 	 52.0 	 0.04 
59.0 	 87 	 573 	 48.0 	 54.0 	 0.058823529411764705 
