frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 81 	 566 	 40.0 	 41.0 	 0.012345679012345678 
2.0 	 82 	 566 	 41.0 	 40.0 	 0.012345679012345678 
3.0 	 82 	 566 	 41.0 	 43.0 	 0.023809523809523808 
4.0 	 81 	 566 	 42.0 	 42.0 	 0.0 
5.0 	 82 	 566 	 41.0 	 41.0 	 0.0 
6.0 	 82 	 566 	 43.682132720947266 	 42.28908157348633 	 0.01620369281617945 
7.0 	 82 	 566 	 41.0 	 44.0 	 0.03529411764705882 
8.0 	 82 	 566 	 41.0 	 41.0 	 0.0 
9.0 	 82 	 566 	 41.0 	 42.0 	 0.012048192771084338 
10.0 	 82 	 566 	 41.0 	 44.0 	 0.03529411764705882 
11.0 	 82 	 566 	 41.0 	 42.0 	 0.012048192771084338 
12.0 	 82 	 566 	 42.0 	 43.0 	 0.011764705882352941 
13.0 	 82 	 566 	 42.0 	 43.0 	 0.011764705882352941 
14.0 	 83 	 566 	 41.0 	 41.0 	 0.0 
15.0 	 83 	 566 	 41.0 	 43.0 	 0.023809523809523808 
16.0 	 83 	 566 	 42.0 	 44.0 	 0.023255813953488372 
17.0 	 83 	 566 	 41.0 	 41.0 	 0.0 
18.0 	 83 	 565 	 41.0 	 42.0 	 0.012048192771084338 
19.0 	 83 	 566 	 42.0 	 43.0 	 0.011764705882352941 
20.0 	 83 	 566 	 41.0 	 42.0 	 0.012048192771084338 
21.0 	 83 	 566 	 42.0 	 41.0 	 0.012048192771084338 
22.0 	 83 	 566 	 42.0 	 43.0 	 0.011764705882352941 
23.0 	 83 	 566 	 42.0 	 42.0 	 0.0 
24.0 	 83 	 566 	 42.0 	 41.0 	 0.012048192771084338 
25.0 	 83 	 566 	 42.0 	 42.0 	 0.0 
26.0 	 83 	 566 	 42.0 	 41.0 	 0.012048192771084338 
27.0 	 83 	 566 	 41.0 	 41.0 	 0.0 
28.0 	 83 	 566 	 42.0 	 43.0 	 0.011764705882352941 
29.0 	 84 	 566 	 42.0 	 42.0 	 0.0 
30.0 	 84 	 566 	 41.0 	 41.0 	 0.0 
31.0 	 84 	 566 	 42.0 	 43.0 	 0.011764705882352941 
32.0 	 84 	 566 	 42.0 	 43.0 	 0.011764705882352941 
33.0 	 83 	 566 	 40.0 	 41.0 	 0.012345679012345678 
34.0 	 83 	 566 	 43.0 	 43.0 	 0.0 
35.0 	 84 	 566 	 42.0 	 43.0 	 0.011764705882352941 
36.0 	 84 	 566 	 41.0 	 41.0 	 0.0 
37.0 	 84 	 566 	 42.0 	 42.0 	 0.0 
38.0 	 84 	 566 	 42.0 	 42.0 	 0.0 
39.0 	 84 	 566 	 42.0 	 42.0 	 0.0 
40.0 	 84 	 566 	 42.0 	 42.0 	 0.0 
41.0 	 84 	 566 	 42.0 	 43.0 	 0.011764705882352941 
42.0 	 84 	 566 	 41.0 	 41.0 	 0.0 
43.0 	 84 	 566 	 42.0 	 42.0 	 0.0 
44.0 	 85 	 566 	 42.0 	 42.0 	 0.0 
45.0 	 85 	 566 	 41.0 	 41.0 	 0.0 
46.0 	 85 	 566 	 41.0 	 42.0 	 0.012048192771084338 
47.0 	 85 	 566 	 42.0 	 42.0 	 0.0 
48.0 	 86 	 566 	 42.0 	 41.0 	 0.012048192771084338 
49.0 	 87 	 566 	 42.0 	 42.0 	 0.0 
50.0 	 87 	 566 	 42.0 	 42.0 	 0.0 
51.0 	 88 	 566 	 41.0 	 41.0 	 0.0 
52.0 	 89 	 566 	 42.0 	 41.0 	 0.012048192771084338 
53.0 	 90 	 566 	 42.0 	 41.0 	 0.012048192771084338 
54.0 	 91 	 566 	 42.0 	 41.0 	 0.012048192771084338 
55.0 	 92 	 566 	 42.0 	 41.0 	 0.012048192771084338 
56.0 	 93 	 566 	 42.0 	 42.0 	 0.0 
57.0 	 94 	 566 	 42.0 	 41.0 	 0.012048192771084338 
58.0 	 95 	 566 	 41.0 	 42.0 	 0.012048192771084338 
59.0 	 97 	 566 	 42.0 	 43.0 	 0.011764705882352941 
60.0 	 97 	 566 	 41.0 	 41.0 	 0.0 
61.0 	 99 	 566 	 41.0 	 41.0 	 0.0 
62.0 	 100 	 566 	 42.0 	 42.0 	 0.0 
63.0 	 101 	 566 	 42.0 	 42.0 	 0.0 
64.0 	 103 	 566 	 41.0 	 42.0 	 0.012048192771084338 
65.0 	 105 	 566 	 42.0 	 42.0 	 0.0 
66.0 	 106 	 566 	 41.0 	 42.0 	 0.012048192771084338 
67.0 	 107 	 566 	 40.0 	 41.0 	 0.012345679012345678 
68.0 	 109 	 566 	 41.0 	 43.0 	 0.023809523809523808 
69.0 	 110 	 566 	 41.0 	 43.0 	 0.023809523809523808 
70.0 	 112 	 566 	 40.0 	 40.0 	 0.0 
71.0 	 113 	 566 	 41.0 	 43.0 	 0.023809523809523808 
72.0 	 115 	 566 	 41.0 	 43.0 	 0.023809523809523808 
73.0 	 117 	 566 	 40.0 	 42.0 	 0.024390243902439025 
74.0 	 118 	 566 	 40.0 	 43.0 	 0.03614457831325301 
75.0 	 120 	 566 	 40.0 	 44.0 	 0.047619047619047616 
76.0 	 121 	 566 	 40.01679992675781 	 42.9139404296875 	 0.0349344584466202 
77.0 	 123 	 566 	 40.0 	 43.0 	 0.03614457831325301 
78.0 	 125 	 566 	 41.0 	 44.0 	 0.03529411764705882 
79.0 	 126 	 565 	 39.0 	 43.0 	 0.04878048780487805 
80.0 	 128 	 566 	 40.0 	 44.0 	 0.047619047619047616 
81.0 	 130 	 566 	 40.0 	 44.0 	 0.047619047619047616 
82.0 	 132 	 566 	 39.0 	 43.0 	 0.04878048780487805 
83.0 	 133 	 566 	 39.0 	 44.0 	 0.060240963855421686 
84.0 	 135 	 566 	 40.0 	 45.0 	 0.058823529411764705 
85.0 	 137 	 566 	 39.0 	 42.0 	 0.037037037037037035 
86.0 	 139 	 566 	 38.0 	 42.0 	 0.05 
87.0 	 140 	 566 	 40.0 	 44.0 	 0.047619047619047616 
88.0 	 142 	 566 	 39.0 	 43.0 	 0.04878048780487805 
89.0 	 144 	 566 	 39.0 	 42.0 	 0.037037037037037035 
90.0 	 146 	 566 	 40.0 	 44.0 	 0.047619047619047616 
91.0 	 147 	 566 	 39.0 	 44.0 	 0.060240963855421686 
92.0 	 150 	 566 	 39.0 	 43.0 	 0.04878048780487805 
93.0 	 152 	 566 	 40.0 	 45.0 	 0.058823529411764705 
94.0 	 154 	 566 	 40.0 	 44.0 	 0.047619047619047616 
95.0 	 156 	 566 	 43.84062194824219 	 38.74945068359375 	 0.06164386472141141 
96.0 	 158 	 566 	 39.0 	 44.0 	 0.060240963855421686 
97.0 	 160 	 566 	 44.0 	 39.0 	 0.060240963855421686 
98.0 	 162 	 566 	 37.0 	 43.0 	 0.075 
99.0 	 164 	 566 	 39.0 	 45.0 	 0.07142857142857142 
100.0 	 166 	 566 	 39.0 	 46.0 	 0.08235294117647059 
101.0 	 168 	 566 	 38.0 	 45.0 	 0.08433734939759036 
102.0 	 170 	 566 	 38.0 	 46.0 	 0.09523809523809523 
103.0 	 172 	 566 	 38.0 	 46.0 	 0.09523809523809523 
104.0 	 174 	 566 	 38.0 	 44.0 	 0.07317073170731707 
105.0 	 176 	 566 	 38.0 	 45.0 	 0.08433734939759036 
106.0 	 178 	 566 	 39.0 	 46.0 	 0.08235294117647059 
107.0 	 180 	 566 	 45.50892639160156 	 38.533103942871094 	 0.08300397338055625 
108.0 	 182 	 566 	 38.0 	 46.0 	 0.09523809523809523 
109.0 	 185 	 566 	 39.0 	 46.0 	 0.08235294117647059 
110.0 	 187 	 566 	 39.0 	 45.0 	 0.07142857142857142 
111.0 	 189 	 565 	 38.0 	 45.0 	 0.08433734939759036 
112.0 	 191 	 566 	 38.0 	 48.0 	 0.11627906976744186 
113.0 	 193 	 566 	 38.86528778076172 	 46.007198333740234 	 0.08414871391116462 
114.0 	 195 	 566 	 38.0 	 45.0 	 0.08433734939759036 
115.0 	 197 	 566 	 39.0 	 47.0 	 0.09302325581395349 
116.0 	 200 	 566 	 39.0 	 46.0 	 0.08235294117647059 
117.0 	 202 	 566 	 38.0 	 46.0 	 0.09523809523809523 
118.0 	 204 	 566 	 38.0 	 47.0 	 0.10588235294117647 
119.0 	 206 	 566 	 38.0 	 47.0 	 0.10588235294117647 
120.0 	 208 	 566 	 37.0 	 45.0 	 0.0975609756097561 
121.0 	 210 	 566 	 38.0 	 47.0 	 0.10588235294117647 
122.0 	 213 	 566 	 38.0 	 48.0 	 0.11627906976744186 
123.0 	 215 	 565 	 37.0 	 46.0 	 0.10843373493975904 
124.0 	 217 	 565 	 39.0 	 47.0 	 0.09302325581395349 
125.0 	 219 	 566 	 39.0 	 47.0 	 0.09302325581395349 
126.0 	 222 	 566 	 37.0 	 45.0 	 0.0975609756097561 
127.0 	 224 	 566 	 38.0 	 47.0 	 0.10588235294117647 
128.0 	 226 	 566 	 38.0 	 47.0 	 0.10588235294117647 
129.0 	 228 	 566 	 37.0 	 47.0 	 0.11904761904761904 
130.0 	 230 	 565 	 37.0 	 47.0 	 0.11904761904761904 
131.0 	 233 	 566 	 38.0 	 48.0 	 0.11627906976744186 
132.0 	 235 	 566 	 37.0 	 47.0 	 0.11904761904761904 
133.0 	 238 	 565 	 37.0 	 47.0 	 0.11904761904761904 
134.0 	 240 	 566 	 38.0 	 48.0 	 0.11627906976744186 
135.0 	 242 	 566 	 37.0 	 48.0 	 0.12941176470588237 
136.0 	 244 	 565 	 37.0 	 47.0 	 0.11904761904761904 
137.0 	 246 	 566 	 38.0 	 49.0 	 0.12643678160919541 
138.0 	 249 	 565 	 38.0 	 48.0 	 0.11627906976744186 
139.0 	 251 	 565 	 37.0 	 47.0 	 0.11904761904761904 
140.0 	 253 	 566 	 38.0 	 48.0 	 0.11627906976744186 
141.0 	 256 	 566 	 38.0 	 48.0 	 0.11627906976744186 
142.0 	 258 	 566 	 38.0 	 47.0 	 0.10588235294117647 
143.0 	 260 	 566 	 38.0 	 49.0 	 0.12643678160919541 
144.0 	 263 	 566 	 38.0 	 48.0 	 0.11627906976744186 
145.0 	 265 	 566 	 36.0 	 48.0 	 0.14285714285714285 
146.0 	 267 	 566 	 38.0 	 49.0 	 0.12643678160919541 
147.0 	 269 	 566 	 38.0 	 50.0 	 0.13636363636363635 
