frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 187 	 549 	 43.0 	 46.0 	 0.033707865168539325 
2.0 	 187 	 549 	 43.0 	 45.0 	 0.022727272727272728 
3.0 	 187 	 549 	 44.0 	 47.0 	 0.03296703296703297 
4.0 	 187 	 549 	 45.0 	 47.0 	 0.021739130434782608 
5.0 	 187 	 549 	 43.0 	 45.0 	 0.022727272727272728 
6.0 	 188 	 549 	 44.0 	 47.0 	 0.03296703296703297 
7.0 	 187 	 549 	 44.0 	 47.0 	 0.03296703296703297 
8.0 	 188 	 549 	 44.0 	 46.0 	 0.022222222222222223 
9.0 	 188 	 549 	 44.0 	 46.0 	 0.022222222222222223 
10.0 	 188 	 549 	 44.0 	 46.0 	 0.022222222222222223 
11.0 	 188 	 549 	 44.0 	 46.0 	 0.022222222222222223 
12.0 	 188 	 549 	 44.0 	 46.0 	 0.022222222222222223 
13.0 	 188 	 549 	 44.0 	 46.0 	 0.022222222222222223 
14.0 	 188 	 549 	 44.0 	 46.0 	 0.022222222222222223 
15.0 	 188 	 549 	 45.0 	 46.0 	 0.01098901098901099 
16.0 	 189 	 549 	 45.0 	 47.0 	 0.021739130434782608 
17.0 	 189 	 549 	 45.0 	 46.0 	 0.01098901098901099 
18.0 	 189 	 549 	 44.0 	 46.0 	 0.022222222222222223 
19.0 	 189 	 549 	 47.0 	 46.0 	 0.010752688172043012 
20.0 	 189 	 549 	 45.0 	 45.0 	 0.0 
21.0 	 189 	 549 	 44.0 	 45.0 	 0.011235955056179775 
22.0 	 189 	 549 	 47.0 	 46.0 	 0.010752688172043012 
23.0 	 189 	 549 	 45.0 	 46.0 	 0.01098901098901099 
24.0 	 189 	 549 	 45.0 	 46.0 	 0.01098901098901099 
25.0 	 189 	 549 	 45.0 	 46.0 	 0.01098901098901099 
26.0 	 189 	 549 	 44.0 	 45.0 	 0.011235955056179775 
27.0 	 189 	 549 	 44.0 	 45.0 	 0.011235955056179775 
28.0 	 189 	 549 	 44.0 	 46.0 	 0.022222222222222223 
29.0 	 189 	 549 	 44.0 	 45.0 	 0.011235955056179775 
30.0 	 190 	 549 	 43.0 	 45.0 	 0.022727272727272728 
31.0 	 189 	 549 	 45.0 	 45.0 	 0.0 
32.0 	 190 	 549 	 45.0 	 45.0 	 0.0 
33.0 	 190 	 549 	 44.0 	 44.0 	 0.0 
34.0 	 189 	 549 	 45.0 	 45.0 	 0.0 
35.0 	 190 	 549 	 44.0 	 44.0 	 0.0 
36.0 	 190 	 549 	 44.0 	 44.0 	 0.0 
37.0 	 190 	 549 	 43.0 	 45.0 	 0.022727272727272728 
38.0 	 190 	 549 	 43.0 	 45.0 	 0.022727272727272728 
39.0 	 190 	 549 	 43.0 	 45.0 	 0.022727272727272728 
40.0 	 190 	 549 	 44.0 	 46.0 	 0.022222222222222223 
41.0 	 190 	 549 	 44.0 	 45.0 	 0.011235955056179775 
42.0 	 190 	 549 	 43.0 	 44.0 	 0.011494252873563218 
43.0 	 190 	 549 	 44.0 	 45.0 	 0.011235955056179775 
44.0 	 190 	 549 	 44.0 	 45.0 	 0.011235955056179775 
45.0 	 190 	 549 	 43.0 	 45.0 	 0.022727272727272728 
46.0 	 190 	 549 	 43.0 	 45.0 	 0.022727272727272728 
47.0 	 190 	 549 	 44.0 	 47.0 	 0.03296703296703297 
48.0 	 190 	 549 	 43.0 	 45.0 	 0.022727272727272728 
