frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 109 	 562 	 37.0 	 39.0 	 0.02631578947368421 
2.0 	 110 	 562 	 38.0 	 40.0 	 0.02564102564102564 
3.0 	 110 	 562 	 38.0 	 39.0 	 0.012987012987012988 
4.0 	 110 	 562 	 38.0 	 39.0 	 0.012987012987012988 
5.0 	 110 	 562 	 39.0 	 40.0 	 0.012658227848101266 
6.0 	 111 	 562 	 39.0 	 39.0 	 0.0 
7.0 	 110 	 562 	 37.0 	 38.0 	 0.013333333333333334 
8.0 	 111 	 562 	 39.0 	 40.0 	 0.012658227848101266 
9.0 	 111 	 562 	 39.0 	 39.0 	 0.0 
10.0 	 111 	 562 	 39.0 	 39.0 	 0.0 
11.0 	 111 	 562 	 39.0 	 40.0 	 0.012658227848101266 
12.0 	 112 	 562 	 39.0 	 40.0 	 0.012658227848101266 
13.0 	 111 	 562 	 38.0 	 39.0 	 0.012987012987012988 
14.0 	 112 	 562 	 38.0 	 40.0 	 0.02564102564102564 
15.0 	 112 	 562 	 38.0 	 41.0 	 0.0379746835443038 
16.0 	 112 	 562 	 38.0 	 39.0 	 0.012987012987012988 
17.0 	 112 	 562 	 38.0 	 41.0 	 0.0379746835443038 
18.0 	 112 	 562 	 38.0 	 41.0 	 0.0379746835443038 
19.0 	 113 	 562 	 37.0 	 39.0 	 0.02631578947368421 
20.0 	 113 	 562 	 38.0 	 40.0 	 0.02564102564102564 
21.0 	 113 	 562 	 38.0 	 41.0 	 0.0379746835443038 
22.0 	 113 	 562 	 38.0 	 38.0 	 0.0 
23.0 	 113 	 562 	 38.0 	 39.0 	 0.012987012987012988 
24.0 	 113 	 562 	 38.0 	 40.0 	 0.02564102564102564 
25.0 	 113 	 562 	 38.0 	 39.0 	 0.012987012987012988 
26.0 	 113 	 562 	 38.0 	 39.0 	 0.012987012987012988 
27.0 	 114 	 562 	 38.0 	 40.0 	 0.02564102564102564 
28.0 	 113 	 562 	 38.0 	 39.0 	 0.012987012987012988 
29.0 	 114 	 562 	 38.0 	 38.0 	 0.0 
30.0 	 114 	 562 	 39.0 	 40.0 	 0.012658227848101266 
31.0 	 114 	 562 	 38.0 	 38.0 	 0.0 
32.0 	 114 	 562 	 37.0 	 38.0 	 0.013333333333333334 
33.0 	 114 	 562 	 39.0 	 39.0 	 0.0 
34.0 	 114 	 562 	 39.0 	 39.0 	 0.0 
35.0 	 114 	 562 	 38.0 	 37.0 	 0.013333333333333334 
36.0 	 114 	 562 	 39.0 	 39.0 	 0.0 
37.0 	 115 	 562 	 38.0 	 39.0 	 0.012987012987012988 
38.0 	 115 	 562 	 37.0 	 38.0 	 0.013333333333333334 
39.0 	 115 	 562 	 39.0 	 39.0 	 0.0 
40.0 	 115 	 562 	 39.0 	 39.0 	 0.0 
41.0 	 116 	 562 	 37.0 	 38.0 	 0.013333333333333334 
42.0 	 116 	 561 	 39.0 	 39.0 	 0.0 
43.0 	 116 	 562 	 39.0 	 41.0 	 0.025 
44.0 	 117 	 562 	 37.0 	 38.0 	 0.013333333333333334 
45.0 	 117 	 561 	 38.0 	 39.0 	 0.012987012987012988 
46.0 	 118 	 562 	 39.0 	 40.0 	 0.012658227848101266 
47.0 	 119 	 562 	 37.0 	 38.0 	 0.013333333333333334 
48.0 	 120 	 561 	 38.0 	 39.0 	 0.012987012987012988 
49.0 	 121 	 561 	 38.0 	 40.0 	 0.02564102564102564 
50.0 	 122 	 562 	 37.0 	 38.0 	 0.013333333333333334 
51.0 	 123 	 561 	 37.0 	 38.0 	 0.013333333333333334 
52.0 	 124 	 562 	 39.0 	 39.0 	 0.0 
53.0 	 125 	 562 	 38.0 	 39.0 	 0.012987012987012988 
54.0 	 126 	 561 	 37.0 	 39.0 	 0.02631578947368421 
55.0 	 128 	 561 	 39.0 	 40.0 	 0.012658227848101266 
56.0 	 129 	 561 	 38.0 	 39.0 	 0.012987012987012988 
57.0 	 131 	 561 	 38.0 	 38.0 	 0.0 
58.0 	 132 	 561 	 39.0 	 40.0 	 0.012658227848101266 
59.0 	 133 	 561 	 39.0 	 40.0 	 0.012658227848101266 
60.0 	 135 	 561 	 38.0 	 39.0 	 0.012987012987012988 
61.0 	 136 	 561 	 37.0 	 39.0 	 0.02631578947368421 
62.0 	 138 	 562 	 37.0 	 39.0 	 0.02631578947368421 
63.0 	 139 	 561 	 37.0 	 37.0 	 0.0 
