frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 76 	 573 	 46.0 	 53.0 	 0.0707070707070707 
2.0 	 77 	 573 	 47.0 	 55.0 	 0.0784313725490196 
3.0 	 77 	 573 	 47.0 	 53.0 	 0.06 
4.0 	 77 	 573 	 47.0 	 53.0 	 0.06 
5.0 	 77 	 573 	 47.0 	 55.0 	 0.0784313725490196 
6.0 	 77 	 573 	 47.0 	 53.0 	 0.06 
7.0 	 77 	 573 	 47.0 	 53.0 	 0.06 
8.0 	 77 	 573 	 47.0 	 54.0 	 0.06930693069306931 
9.0 	 77 	 573 	 47.0 	 54.0 	 0.06930693069306931 
10.0 	 77 	 573 	 46.0 	 54.0 	 0.08 
11.0 	 77 	 573 	 47.0 	 54.0 	 0.06930693069306931 
12.0 	 77 	 573 	 47.0 	 55.0 	 0.0784313725490196 
13.0 	 77 	 573 	 46.0 	 54.0 	 0.08 
14.0 	 77 	 573 	 47.0 	 55.0 	 0.0784313725490196 
15.0 	 77 	 573 	 47.0 	 55.0 	 0.0784313725490196 
16.0 	 78 	 573 	 46.0 	 54.0 	 0.08 
17.0 	 78 	 573 	 47.0 	 55.0 	 0.0784313725490196 
18.0 	 78 	 573 	 47.0 	 56.0 	 0.08737864077669903 
19.0 	 78 	 573 	 46.0 	 53.0 	 0.0707070707070707 
20.0 	 78 	 573 	 47.0 	 54.0 	 0.06930693069306931 
21.0 	 78 	 573 	 47.0 	 54.0 	 0.06930693069306931 
22.0 	 78 	 573 	 47.0 	 52.0 	 0.050505050505050504 
23.0 	 78 	 573 	 47.0 	 54.0 	 0.06930693069306931 
24.0 	 78 	 573 	 47.0 	 54.0 	 0.06930693069306931 
25.0 	 78 	 573 	 47.0 	 53.0 	 0.06 
26.0 	 78 	 573 	 47.0 	 53.0 	 0.06 
27.0 	 78 	 573 	 48.0 	 54.0 	 0.058823529411764705 
28.0 	 78 	 573 	 47.0 	 53.0 	 0.06 
29.0 	 78 	 573 	 47.0 	 53.0 	 0.06 
30.0 	 78 	 573 	 49.0 	 54.0 	 0.04854368932038835 
31.0 	 78 	 573 	 49.0 	 53.0 	 0.0392156862745098 
32.0 	 78 	 573 	 47.0 	 52.0 	 0.050505050505050504 
33.0 	 78 	 573 	 49.0 	 54.0 	 0.04854368932038835 
34.0 	 78 	 573 	 49.0 	 53.0 	 0.0392156862745098 
35.0 	 78 	 573 	 48.0 	 53.0 	 0.04950495049504951 
36.0 	 79 	 573 	 48.0 	 54.0 	 0.058823529411764705 
37.0 	 79 	 573 	 48.0 	 54.0 	 0.058823529411764705 
38.0 	 79 	 573 	 46.0 	 52.0 	 0.061224489795918366 
39.0 	 79 	 573 	 48.34608459472656 	 53.5971565246582 	 0.05150976045368383 
40.0 	 79 	 573 	 48.0 	 53.0 	 0.04950495049504951 
41.0 	 80 	 573 	 47.0 	 52.0 	 0.050505050505050504 
42.0 	 80 	 573 	 48.0 	 54.0 	 0.058823529411764705 
43.0 	 80 	 573 	 48.0 	 54.0 	 0.058823529411764705 
44.0 	 81 	 573 	 48.0 	 52.0 	 0.04 
45.0 	 81 	 573 	 48.0 	 53.0 	 0.04950495049504951 
46.0 	 82 	 573 	 48.0 	 53.0 	 0.04950495049504951 
47.0 	 82 	 573 	 47.0 	 52.0 	 0.050505050505050504 
48.0 	 83 	 573 	 48.0 	 52.0 	 0.04 
49.0 	 84 	 573 	 48.0 	 52.0 	 0.04 
50.0 	 86 	 573 	 47.0 	 52.0 	 0.050505050505050504 
51.0 	 87 	 573 	 48.0 	 53.0 	 0.04950495049504951 
52.0 	 88 	 573 	 48.0 	 53.0 	 0.04950495049504951 
53.0 	 89 	 573 	 47.0 	 52.0 	 0.050505050505050504 
54.0 	 91 	 573 	 47.0 	 53.0 	 0.06 
55.0 	 92 	 573 	 47.0 	 54.0 	 0.06930693069306931 
56.0 	 93 	 573 	 46.0 	 53.0 	 0.0707070707070707 
57.0 	 94 	 573 	 46.0 	 54.0 	 0.08 
58.0 	 96 	 573 	 47.0 	 54.0 	 0.06930693069306931 
59.0 	 97 	 573 	 46.0 	 53.0 	 0.0707070707070707 
60.0 	 99 	 573 	 46.0 	 53.0 	 0.0707070707070707 
61.0 	 101 	 573 	 46.0 	 54.0 	 0.08 
62.0 	 102 	 573 	 46.0 	 55.0 	 0.0891089108910891 
63.0 	 104 	 573 	 46.0 	 53.0 	 0.0707070707070707 
64.0 	 105 	 573 	 46.0 	 55.0 	 0.0891089108910891 
