frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 214 	 617 	 45.0 	 43.0 	 0.022727272727272728 
2.0 	 214 	 617 	 43.0 	 46.0 	 0.033707865168539325 
3.0 	 214 	 617 	 43.0 	 46.0 	 0.033707865168539325 
4.0 	 213 	 617 	 43.0 	 46.0 	 0.033707865168539325 
5.0 	 213 	 617 	 46.0 	 43.0 	 0.033707865168539325 
6.0 	 213 	 617 	 43.0 	 47.0 	 0.044444444444444446 
7.0 	 214 	 617 	 47.0 	 44.0 	 0.03296703296703297 
8.0 	 214 	 617 	 47.0 	 44.0 	 0.03296703296703297 
9.0 	 214 	 617 	 44.0 	 47.0 	 0.03296703296703297 
10.0 	 214 	 617 	 46.0 	 44.0 	 0.022222222222222223 
11.0 	 214 	 617 	 46.0 	 45.0 	 0.01098901098901099 
12.0 	 214 	 617 	 46.0 	 45.0 	 0.01098901098901099 
13.0 	 214 	 617 	 46.0 	 45.0 	 0.01098901098901099 
14.0 	 214 	 617 	 45.0 	 46.0 	 0.01098901098901099 
15.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
16.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
17.0 	 214 	 617 	 45.0 	 46.0 	 0.01098901098901099 
18.0 	 214 	 617 	 46.0 	 45.0 	 0.01098901098901099 
19.0 	 214 	 617 	 46.0 	 46.0 	 0.0 
20.0 	 214 	 617 	 46.0 	 46.0 	 0.0 
21.0 	 213 	 617 	 46.0 	 45.0 	 0.01098901098901099 
22.0 	 214 	 617 	 45.0 	 44.0 	 0.011235955056179775 
23.0 	 214 	 617 	 44.0 	 44.0 	 0.0 
24.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
25.0 	 214 	 617 	 43.0 	 44.0 	 0.011494252873563218 
26.0 	 214 	 617 	 43.0 	 44.0 	 0.011494252873563218 
27.0 	 214 	 617 	 43.0 	 44.0 	 0.011494252873563218 
28.0 	 214 	 617 	 43.0 	 44.0 	 0.011494252873563218 
29.0 	 214 	 617 	 44.0 	 44.0 	 0.0 
30.0 	 214 	 617 	 45.0 	 44.0 	 0.011235955056179775 
31.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
32.0 	 214 	 617 	 46.0 	 45.0 	 0.01098901098901099 
33.0 	 214 	 617 	 46.0 	 46.0 	 0.0 
34.0 	 214 	 617 	 46.0 	 45.0 	 0.01098901098901099 
35.0 	 214 	 617 	 46.0 	 46.0 	 0.0 
36.0 	 214 	 617 	 46.0 	 46.0 	 0.0 
37.0 	 214 	 617 	 47.0 	 46.0 	 0.010752688172043012 
38.0 	 214 	 617 	 47.0 	 45.0 	 0.021739130434782608 
39.0 	 214 	 617 	 47.0 	 45.0 	 0.021739130434782608 
40.0 	 214 	 617 	 47.0 	 45.0 	 0.021739130434782608 
41.0 	 214 	 617 	 47.0 	 46.0 	 0.010752688172043012 
42.0 	 214 	 617 	 47.0 	 46.0 	 0.010752688172043012 
43.0 	 214 	 617 	 47.0 	 46.0 	 0.010752688172043012 
44.0 	 214 	 617 	 47.0 	 46.0 	 0.010752688172043012 
45.0 	 214 	 617 	 47.0 	 45.0 	 0.021739130434782608 
46.0 	 214 	 617 	 47.0 	 46.0 	 0.010752688172043012 
47.0 	 214 	 617 	 47.0 	 45.0 	 0.021739130434782608 
48.0 	 214 	 617 	 47.0 	 45.0 	 0.021739130434782608 
49.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
50.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
51.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
52.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
53.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
54.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
55.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
56.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
57.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
58.0 	 214 	 617 	 44.0 	 45.0 	 0.011235955056179775 
59.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
60.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
61.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
62.0 	 214 	 617 	 45.0 	 45.0 	 0.0 
63.0 	 215 	 617 	 45.0 	 46.0 	 0.01098901098901099 
64.0 	 215 	 617 	 45.0 	 45.0 	 0.0 
65.0 	 215 	 617 	 45.0 	 46.0 	 0.01098901098901099 
66.0 	 215 	 617 	 45.0 	 45.0 	 0.0 
67.0 	 216 	 617 	 46.0 	 46.0 	 0.0 
68.0 	 216 	 617 	 45.0 	 46.0 	 0.01098901098901099 
69.0 	 217 	 617 	 45.0 	 45.0 	 0.0 
70.0 	 218 	 617 	 45.0 	 45.0 	 0.0 
71.0 	 219 	 617 	 46.0 	 45.0 	 0.01098901098901099 
72.0 	 221 	 617 	 45.66936111450195 	 45.241878509521484 	 0.0047021975142829955 
73.0 	 224 	 617 	 45.0 	 46.0 	 0.01098901098901099 
74.0 	 226 	 618 	 46.0 	 45.0 	 0.01098901098901099 
75.0 	 228 	 618 	 45.71112060546875 	 46.247989654541016 	 0.0058381279196187885 
76.0 	 231 	 618 	 43.0 	 45.0 	 0.022727272727272728 
77.0 	 233 	 617 	 44.0 	 44.0 	 0.0 
78.0 	 235 	 617 	 44.0 	 46.0 	 0.022222222222222223 
79.0 	 238 	 617 	 44.0 	 47.0 	 0.03296703296703297 
80.0 	 241 	 617 	 44.0 	 46.0 	 0.022222222222222223 
81.0 	 244 	 617 	 44.0 	 47.0 	 0.03296703296703297 
82.0 	 246 	 617 	 43.0 	 46.0 	 0.033707865168539325 
83.0 	 249 	 617 	 44.0 	 46.0 	 0.022222222222222223 
84.0 	 252 	 617 	 44.0 	 46.0 	 0.022222222222222223 
85.0 	 255 	 617 	 44.03907012939453 	 47.59463119506836 	 0.03880189290929168 
86.0 	 258 	 617 	 43.0 	 48.0 	 0.054945054945054944 
87.0 	 261 	 618 	 48.69190979003906 	 43.10431671142578 	 0.06086952908161336 
88.0 	 264 	 617 	 48.69190979003906 	 44.23513412475586 	 0.04795994231097713 
89.0 	 267 	 618 	 44.0 	 49.0 	 0.053763440860215055 
90.0 	 270 	 618 	 48.69190979003906 	 43.23735046386719 	 0.05933431108992417 
91.0 	 273 	 618 	 43.0 	 48.0 	 0.054945054945054944 
92.0 	 276 	 618 	 46.0 	 48.0 	 0.02127659574468085 
93.0 	 279 	 618 	 48.1663818359375 	 44.09715270996094 	 0.044104414013666896 
94.0 	 282 	 618 	 49.929420471191406 	 43.10343551635742 	 0.07337176616127478 
95.0 	 285 	 618 	 44.0 	 49.0 	 0.053763440860215055 
96.0 	 288 	 618 	 49.993377685546875 	 43.0175666809082 	 0.0749998943904341 
97.0 	 291 	 618 	 43.0 	 51.0 	 0.0851063829787234 
98.0 	 294 	 618 	 44.0 	 50.0 	 0.06382978723404255 
99.0 	 297 	 618 	 50.790550231933594 	 44.362510681152344 	 0.0675547322292943 
100.0 	 300 	 618 	 52.627593994140625 	 43.609405517578125 	 0.09370812184833711 
101.0 	 303 	 618 	 51.86216735839844 	 44.75157928466797 	 0.07359809882955996 
102.0 	 306 	 618 	 46.0 	 50.0 	 0.041666666666666664 
103.0 	 310 	 618 	 51.263328552246094 	 46.90238571166992 	 0.04442429694803512 
104.0 	 313 	 618 	 47.0 	 52.0 	 0.050505050505050504 
105.0 	 316 	 618 	 48.0 	 52.0 	 0.04 
106.0 	 320 	 618 	 49.92301559448242 	 47.03857421875 	 0.029748288794443634 
107.0 	 323 	 618 	 49.8876838684082 	 47.99005126953125 	 0.019387786162017466 
108.0 	 326 	 618 	 49.937618255615234 	 48.838993072509766 	 0.011122321046790694 
109.0 	 330 	 619 	 45.0 	 50.0 	 0.05263157894736842 
110.0 	 333 	 619 	 45.0 	 51.0 	 0.0625 
111.0 	 336 	 619 	 52.2391242980957 	 45.35840606689453 	 0.07050094613530707 
112.0 	 340 	 619 	 43.0 	 51.0 	 0.0851063829787234 
113.0 	 342 	 619 	 46.0 	 51.0 	 0.05154639175257732 
114.0 	 346 	 619 	 44.59281921386719 	 51.78138732910156 	 0.07459016652997634 
115.0 	 349 	 619 	 44.0 	 51.0 	 0.07368421052631578 
116.0 	 352 	 619 	 42.0 	 52.0 	 0.10638297872340426 
117.0 	 356 	 619 	 43.043243408203125 	 51.26432418823242 	 0.0871730762393242 
118.0 	 359 	 619 	 43.0 	 52.0 	 0.09473684210526316 
119.0 	 362 	 619 	 44.0 	 53.0 	 0.09278350515463918 
120.0 	 366 	 619 	 43.0 	 52.0 	 0.09473684210526316 
121.0 	 370 	 619 	 42.0 	 51.0 	 0.0967741935483871 
122.0 	 373 	 619 	 42.0 	 50.0 	 0.08695652173913043 
123.0 	 376 	 619 	 44.0 	 52.0 	 0.08333333333333333 
124.0 	 380 	 619 	 43.0 	 52.0 	 0.09473684210526316 
125.0 	 383 	 619 	 44.0 	 53.0 	 0.09278350515463918 
126.0 	 386 	 619 	 44.0 	 53.0 	 0.09278350515463918 
127.0 	 390 	 619 	 43.0 	 54.0 	 0.1134020618556701 
