frame velocity moving_averages
2.0 0.0 0.0
3.0 0.0 0.0
4.0 0.0 0.025
5.0 0.0 0.044444444444444446
6.0 0.0 0.04
7.0 0.0 0.05454545454545456
8.0 0.0 0.07272727272727274
9.0 0.2 0.07272727272727274
10.0 0.2 0.07272727272727274
11.0 0.0 0.09090909090909091
12.0 0.2 0.09090909090909091
13.0 0.2 0.09090909090909091
14.0 0.0 0.09090909090909091
15.0 0.0 0.07272727272727274
16.0 0.2 0.05454545454545456
17.0 0.0 0.05454545454545456
18.0 0.0 0.03636363636363637
19.0 0.0 0.018181818181818184
20.0 0.0 0.018181818181818184
21.0 0.0 0.018181818181818184
22.0 0.0 0.0
23.0 0.0 0.0
24.0 0.0 0.0
25.0 0.0 0.0
26.0 0.0 0.018181818181818184
27.0 0.0 0.018181818181818184
28.0 0.0 0.018181818181818184
29.0 0.0 0.018181818181818184
30.0 0.0 0.018181818181818184
31.0 0.2 0.0
32.0 0.0 0.0
33.0 0.0 0.0
34.0 0.0 0.0
35.0 0.0 0.0
36.0 -0.2 0.0
37.0 0.0 -0.018181818181818184
38.0 0.0 -0.018181818181818184
39.0 0.0 -0.018181818181818184
40.0 0.0 -0.018181818181818184
41.0 0.0 0.0
42.0 0.0 0.03636363636363637
43.0 0.0 0.05454545454545456
44.0 0.0 0.07272727272727274
45.0 0.0 0.07272727272727274
46.0 0.2 0.05454545454545456
47.0 0.2 0.03636363636363637
48.0 0.2 0.018181818181818188
49.0 0.2 5.046468293750712e-18
50.0 0.0 5.046468293750712e-18
51.0 -0.2 5.046468293750712e-18
52.0 -0.2 -0.018181818181818177
53.0 -0.2 -0.03636363636363637
54.0 -0.2 -0.03636363636363637
55.0 0.0 -0.03636363636363637
56.0 0.0 -0.018181818181818188
57.0 0.0 0.018181818181818177
58.0 0.0 0.07272727272727274
59.0 0.2 0.10909090909090909
60.0 0.2 0.16363636363636366
61.0 0.2 0.21818181818181823
62.0 0.2 0.29090909090909095
63.0 0.4 0.38181818181818183
64.0 0.2 0.5272727272727273
65.0 0.4 0.6727272727272727
66.0 0.6 0.8363636363636363
67.0 0.8 1.0363636363636364
68.0 1.0 1.2363636363636366
69.0 1.6 1.4
70.0 1.8 1.5999999999999999
71.0 2.0 1.8
72.0 2.4 1.9636363636363634
73.0 2.4 2.1272727272727274
74.0 2.2 2.290909090909091
75.0 2.4 2.4000000000000004
76.0 2.6 2.490909090909091
77.0 2.4 2.581818181818182
78.0 2.6 2.618181818181818
79.0 2.8 2.6545454545454548
80.0 2.8 2.7272727272727275
81.0 2.8 2.7818181818181817
82.0 3.0 2.8181818181818183
83.0 2.8 2.890909090909091
84.0 2.8 2.9454545454545453
85.0 3.0 2.963636363636363
86.0 3.0 2.9818181818181815
87.0 3.0 3.0
88.0 3.2 3.0
89.0 3.2 3.0181818181818185
90.0 3.0 3.036363636363636
91.0 3.0 3.036363636363636
92.0 3.0 3.0545454545454547
93.0 3.0 3.0545454545454542
94.0 3.0 3.0545454545454547
95.0 3.0 3.0545454545454547
96.0 3.0 3.0727272727272723
97.0 3.2 3.090909090909091
98.0 3.0 3.127272727272727
99.0 3.2 3.145454545454545
100.0 3.2 3.181818181818181
101.0 3.2 3.2181818181818174
102.0 3.2 3.2363636363636363
103.0 3.4 3.2545454545454544
104.0 3.2 3.2909090909090906
105.0 3.4 3.290909090909091
106.0 3.4 3.2909090909090906
107.0 3.2 3.290909090909091
108.0 3.4 3.290909090909091
109.0 3.4 3.272727272727273
110.0 3.2 3.2909090909090906
111.0 3.2 3.2909090909090906
112.0 3.2 3.309090909090909
113.0 3.2 3.309090909090909
114.0 3.2 3.309090909090909
115.0 3.4 3.309090909090909
116.0 3.4 3.3272727272727267
117.0 3.6 3.3272727272727276
118.0 3.2 3.3636363636363638
119.0 3.4 3.4
120.0 3.4 3.4181818181818175
121.0 3.4 3.436363636363637
122.0 3.2 3.472727272727272
123.0 3.6 3.4909090909090907
124.0 3.6 3.527272727272728
125.0 3.4 3.563636363636363
126.0 3.6 3.5818181818181816
127.0 3.8 3.600000000000001
128.0 3.8 3.6181818181818186
129.0 3.6 3.6181818181818186
130.0 3.8 3.600000000000001
131.0 3.6 3.6181818181818177
132.0 3.6 3.6181818181818186
133.0 3.4 3.6
134.0 3.6 3.5818181818181825
135.0 3.4 3.6
136.0 3.6 3.5999999999999996
137.0 3.6 3.6
138.0 3.6 3.6181818181818186
139.0 3.6 3.6545454545454543
140.0 3.8 3.6727272727272724
141.0 3.8 3.7636363636363637
142.0 3.6 3.854545454545455
143.0 3.8 3.9454545454545458
144.0 3.8 4.036363636363637
145.0 3.8 4.127272727272728
146.0 4.4 4.145454545454546
147.0 4.6 4.090909090909092
148.0 4.6 4.036363636363637
149.0 4.6 3.9636363636363643
150.0 4.6 3.890909090909091
151.0 4.0 3.8181818181818183
152.0 3.2 3.763636363636363
153.0 3.0 3.709090909090909
154.0 3.0 3.6545454545454543
155.0 3.0 3.5818181818181816
156.0 3.0 3.5090909090909084
157.0 3.8 3.4909090909090907
158.0 4.0 3.5454545454545454
159.0 4.0 3.6181818181818177
160.0 3.8 3.709090909090909
161.0 3.8 3.8000000000000003
162.0 3.8 3.890909090909091
163.0 3.8 3.909090909090909
164.0 3.8 3.909090909090909
165.0 4.0 3.909090909090909
166.0 4.0 3.9272727272727277
167.0 4.0 3.927272727272727
168.0 4.0 3.927272727272727
169.0 4.0 3.927272727272727
170.0 4.0 3.927272727272727
171.0 4.0 3.9090909090909083
172.0 3.8 3.909090909090909
173.0 3.8 3.909090909090909
174.0 3.8 3.909090909090909
175.0 3.8 3.909090909090909
176.0 3.8 3.9272727272727277
177.0 4.0 3.9454545454545458
178.0 4.0 3.9818181818181824
179.0 4.0 4.0181818181818185
180.0 4.0 4.036363636363637
181.0 4.2 4.054545454545455
182.0 4.2 4.072727272727272
183.0 4.2 4.072727272727272
184.0 4.2 4.072727272727272
185.0 4.0 4.090909090909091
186.0 4.0 4.090909090909091
187.0 4.0 4.072727272727273
188.0 4.0 4.054545454545455
189.0 4.0 4.036363636363636
190.0 4.2 4.0181818181818185
191.0 4.0 4.0181818181818185
192.0 4.0 4.0181818181818185
193.0 4.0 4.0181818181818185
194.0 4.0 4.0181818181818185
195.0 4.0 4.0181818181818185
196.0 4.0 4.0
197.0 4.0 4.0
198.0 4.0 4.0
199.0 4.0 4.0
200.0 4.0 4.0181818181818185
201.0 4.0 4.036363636363637
202.0 4.0 4.054545454545456
203.0 4.0 4.072727272727274
204.0 4.0 4.090909090909092
205.0 4.2 4.10909090909091
206.0 4.2 4.127272727272728
207.0 4.2 4.145454545454546
208.0 4.2 4.181818181818182
209.0 4.2 4.218181818181818
210.0 4.2 4.236363636363636
211.0 4.2 4.236363636363636
212.0 4.2 4.254545454545455
213.0 4.4 4.254545454545455
214.0 4.4 4.254545454545455
215.0 4.2 4.2727272727272725
216.0 4.2 4.290909090909091
217.0 4.4 4.290909090909091
218.0 4.2 4.290909090909091
219.0 4.2 4.290909090909091
220.0 4.4 4.272727272727273
221.0 4.4 4.29090909090909
222.0 4.2 4.309090909090909
223.0 4.2 4.309090909090909
224.0 4.4 4.327272727272727
225.0 4.2 4.345454545454545
226.0 4.4 4.345454545454545
227.0 4.4 4.345454545454545
228.0 4.4 4.381818181818182
229.0 4.4 4.3999999999999995
230.0 4.4 4.418181818181818
231.0 4.4 4.4363636363636365
232.0 4.4 4.4363636363636365
233.0 4.6 4.4363636363636365
234.0 4.4 4.4363636363636365
235.0 4.6 4.418181818181818
236.0 4.4 4.3999999999999995
237.0 4.4 4.3999999999999995
238.0 4.4 4.3999999999999995
239.0 4.4 4.381818181818182
240.0 4.2 4.381818181818182
241.0 4.2 4.363636363636363
242.0 4.4 4.363636363636363
243.0 4.4 4.345454545454545
244.0 4.4 4.327272727272727
245.0 4.4 4.327272727272727
246.0 4.4 4.345454545454546
247.0 4.4 4.345454545454545
248.0 4.2 4.327272727272727
249.0 4.2 4.327272727272727
250.0 4.4 4.3090909090909095
251.0 4.4 4.290909090909091
252.0 4.2 4.290909090909091
253.0 4.2 4.290909090909091
254.0 4.4 4.290909090909091
255.0 4.2 4.290909090909091
256.0 4.2 4.272727272727273
257.0 4.4 4.254545454545456
258.0 4.4 4.254545454545455
259.0 4.2 4.254545454545456
260.0 4.2 4.236363636363637
261.0 4.2 4.236363636363637
262.0 4.2 4.236363636363637
263.0 4.2 4.218181818181819
264.0 4.2 4.200000000000001
265.0 4.2 4.200000000000001
266.0 4.2 4.200000000000001
267.0 4.2 4.1818181818181825
268.0 4.2 4.1818181818181825
269.0 4.2 4.1818181818181825
270.0 4.2 4.1818181818181825
271.0 4.2 4.1818181818181825
272.0 4.0 4.2
273.0 4.2 4.181818181818182
274.0 4.2 4.181818181818182
275.0 4.2 4.1818181818181825
276.0 4.2 4.1818181818181825
277.0 4.4 4.163636363636364
278.0 4.0 4.1818181818181825
279.0 4.2 4.163636363636364
280.0 4.2 4.1454545454545455
281.0 4.2 4.127272727272727
282.0 4.0 4.109090909090909
283.0 4.2 4.072727272727272
