frame 	 moving_average_deformation 
1.0	0.009606166845895317
2.0	0.009676095958031164
3.0	0.010142209414075506
4.0	0.010576177114530582
5.0	0.010598169712585556
6.0	0.010256293270244085
7.0	0.009935784105548958
8.0	0.010293461267040886
9.0	0.010630098595503878
10.0	0.010326381492775196
11.0	0.010338223344977079
12.0	0.010633855031455558
13.0	0.010631025051403403
14.0	0.01052824298981298
15.0	0.01053976218979293
16.0	0.010550719477578737
17.0	0.010561154989755697
18.0	0.010571105129273261
19.0	0.010580602989721848
20.0	0.010589678723039384
21.0	0.010598359859256157
22.0	0.010606671585421156
23.0	0.01061463698966261
24.0	0.010622277275363596
25.0	0.010629611949636544
26.0	0.010636658989624277
27.0	0.010600656028847114
28.0	0.010380343184608298
29.0	0.010380343184608298
30.0	0.010380343184608298
31.0	0.010380343184608298
32.0	0.010595813988314395
33.0	0.010811284792020492
34.0	0.011026755595726589
35.0	0.011242226399432686
36.0	0.011242226399432686
37.0	0.011157911551665454
38.0	0.011157911551665456
39.0	0.011157911551665456
40.0	0.01116254533239032
41.0	0.011027111166035546
42.0	0.010998671998735303
43.0	0.010572414539229764
44.0	0.01036157751624853
45.0	0.01036157751624853
46.0	0.010370649971141418
47.0	0.010586120774847515
48.0	0.010155179167435318
49.0	0.009934920123646863
50.0	0.009709542616322096
51.0	0.009484222661986938
52.0	0.009531094085418945
53.0	0.009526029422332997
54.0	0.009080396623759021
55.0	0.009061021284690586
56.0	0.009056179244157865
57.0	0.0092670162671391
58.0	0.009482487070845197
59.0	0.009271700415045755
60.0	0.009271700415045755
61.0	0.009904211483989463
62.0	0.010325885529951933
63.0	0.01054120844703915
64.0	0.010967321167169647
65.0	0.011671844046385035
66.0	0.012088884311622642
67.0	0.01250592457686025
68.0	0.012922964842097857
69.0	0.013353906449510053
70.0	0.014192620760710132
71.0	0.014811526260717007
72.0	0.015650240571917086
73.0	0.016488954883117163
74.0	0.0174989742754895
75.0	0.018294217035559432
76.0	0.019304236427931762
77.0	0.020289245816302495
78.0	0.02151993492212727
79.0	0.02233692838617956
80.0	0.02315392185023185
81.0	0.024185913594297895
82.0	0.025002907058350187
83.0	0.025798149818420116
84.0	0.026399672478766307
85.0	0.027216193419126258
86.0	0.02822621281149859
87.0	0.02945170300757702
88.0	0.030572111507207615
89.0	0.03158213089957995
90.0	0.03259215029195228
91.0	0.03360216968432462
92.0	0.035236156612429195
93.0	0.03627924895282663
94.0	0.03747972914490346
95.0	0.0386802093369803
96.0	0.0396948625100775
97.0	0.04111337863447597
98.0	0.04231290682005631
99.0	0.04329791620842704
100.0	0.04446885855583997
101.0	0.046288142970636825
102.0	0.04766847038250044
103.0	0.048809953088599034
104.0	0.05040892465915707
105.0	0.052409724979285116
106.0	0.05358410777588202
107.0	0.05518792138697277
108.0	0.05695035844056802
109.0	0.05873568795698997
110.0	0.060671391863844605
111.0	0.062191811885254904
112.0	0.0636206801226344
113.0	0.06511906737679724
114.0	0.06670009212500927
115.0	0.06829115089637282
116.0	0.0699077549848167
117.0	0.07190309918169066
118.0	0.07372156850490381
119.0	0.07531262727626738
120.0	0.07752569198933208
121.0	0.07933098399860891
122.0	0.08152874838622402
123.0	0.08310241853713551
124.0	0.08490771054641234
125.0	0.086714361041662
126.0	0.08873578816921406
127.0	0.0901381532389533
128.0	0.09196981373820455
129.0	0.09318267001473579
130.0	0.09499353181650118
131.0	0.09675130563309853
132.0	0.09829408116968213
133.0	0.10005185498627946
134.0	0.10161590870315307
135.0	0.1032210611614708
136.0	0.10493416745662043
137.0	0.10628344454119164
138.0	0.10763272162576284
139.0	0.10907029517929324
140.0	0.11052261517038522
141.0	0.11187189225495643
142.0	0.11326146977711662
143.0	0.11424055270981147
144.0	0.11604720320506112
145.0	0.11770620013716729
146.0	0.11970700045729533
147.0	0.12168279077342178
148.0	0.12341580721232058
149.0	0.12520208873523903
150.0	0.12720288905536709
151.0	0.12901775641645294
152.0	0.13023061269298417
153.0	0.1316621131282098
154.0	0.13316538110206602
155.0	0.13454737719947407
156.0	0.1357478573915509
157.0	0.13734849764765333
158.0	0.1385613539241846
159.0	0.1396202205389362
160.0	0.14100594023217938
161.0	0.14199140299810095
162.0	0.1426725807830028
163.0	0.14387917533288877
164.0	0.1446077541339652
165.0	0.14566219217301865
166.0	0.14663990284491626
167.0	0.14699004290093867
168.0	0.1475634681473259
169.0	0.14854891387200753
170.0	0.14959331788790942
171.0	0.15000181461993556
172.0	0.1504103113519617
173.0	0.15064614451684277
174.0	0.15128626310723425
175.0	0.15169475983926042
176.0	0.15217139107775687
177.0	0.15264802231625335
178.0	0.15369663763867097
179.0	0.15450520848969182
180.0	0.15555382381210944
181.0	0.15660243913452707
182.0	0.1577041424421127
183.0	0.1588058457496984
184.0	0.15990754905728405
185.0	0.16100925236486965
186.0	0.16226357703073493
187.0	0.16319494957975453
188.0	0.16412895422892945
189.0	0.16523065753651514
190.0	0.16638223106976413
191.0	0.16714084699943219
192.0	0.168002505835621
