frame 	 x 	 y 
289 	 1046 	 620 
290 	 1050 	 620 
291 	 1054 	 620 
292 	 1058 	 620 
293 	 1062 	 620 
294 	 1066 	 620 
295 	 1070 	 620 
296 	 1074 	 620 
297 	 1079 	 620 
298 	 1083 	 620 
299 	 1087 	 620 
300 	 1091 	 620 
301 	 1095 	 620 
302 	 1099 	 620 
303 	 1103 	 620 
304 	 1106 	 620 
305 	 1110 	 620 
306 	 1114 	 620 
307 	 1118 	 620 
308 	 1122 	 620 
309 	 1127 	 620 
310 	 1130 	 620 
311 	 1134 	 620 
312 	 1138 	 620 
313 	 1142 	 620 
314 	 1146 	 620 
315 	 1150 	 620 
316 	 1154 	 620 
317 	 1158 	 620 
318 	 1162 	 620 
319 	 1166 	 620 
320 	 1170 	 621 
321 	 1174 	 621 
322 	 1178 	 621 
323 	 1182 	 621 
324 	 1186 	 621 
325 	 1190 	 621 
326 	 1194 	 621 
327 	 1198 	 621 
328 	 1203 	 621 
329 	 1206 	 621 
330 	 1211 	 621 
331 	 1215 	 621 
332 	 1219 	 621 
333 	 1223 	 621 
334 	 1227 	 621 
335 	 1231 	 621 
336 	 1235 	 621 
337 	 1239 	 621 
338 	 1243 	 621 
339 	 1247 	 621 
340 	 1251 	 621 
341 	 1255 	 621 
342 	 1259 	 621 
343 	 1263 	 621 
344 	 1268 	 621 
345 	 1272 	 621 
346 	 1276 	 621 
347 	 1280 	 621 
348 	 1285 	 621 
349 	 1289 	 621 
350 	 1293 	 621 
351 	 1298 	 621 
352 	 1302 	 621 
353 	 1306 	 621 
354 	 1311 	 621 
355 	 1315 	 621 
356 	 1319 	 621 
357 	 1324 	 621 
358 	 1328 	 621 
359 	 1332 	 621 
360 	 1337 	 621 
361 	 1341 	 621 
362 	 1345 	 621 
363 	 1349 	 621 
364 	 1354 	 621 
365 	 1358 	 621 
366 	 1362 	 621 
367 	 1367 	 621 
368 	 1371 	 621 
369 	 1375 	 621 
370 	 1380 	 621 
371 	 1384 	 621 
372 	 1388 	 621 
373 	 1392 	 621 
374 	 1397 	 621 
375 	 1401 	 621 
376 	 1405 	 621 
377 	 1410 	 621 
378 	 1414 	 621 
379 	 1418 	 621 
380 	 1422 	 621 
381 	 1427 	 621 
382 	 1431 	 621 
383 	 1435 	 621 
384 	 1439 	 621 
385 	 1444 	 621 
386 	 1448 	 621 
387 	 1452 	 621 
388 	 1457 	 621 
389 	 1461 	 621 
390 	 1465 	 621 
391 	 1470 	 621 
392 	 1474 	 621 
393 	 1479 	 621 
394 	 1483 	 621 
395 	 1487 	 621 
396 	 1491 	 621 
397 	 1496 	 621 
398 	 1500 	 621 
399 	 1504 	 621 
400 	 1509 	 621 
401 	 1513 	 621 
402 	 1518 	 621 
403 	 1522 	 621 
404 	 1527 	 621 
405 	 1531 	 621 
406 	 1535 	 621 
407 	 1540 	 621 
408 	 1544 	 621 
